CompoundName,SMILES,ChEMBL_ID,PubChem_CID,IC50_nM,pIC50,Class
Docetaxel,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,CHEMBL91,N/A,1500.0,5.823908740944319,1
Cabazitaxel,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,CHEMBL2105740,N/A,500.0,6.301029995663981,1
Ixabepilone,C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](NC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C,CHEMBL1201179,N/A,450.0,6.346787486224656,1
Epothilone B,C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C,CHEMBL1201509,N/A,30.0,7.522878745280337,1
Epothilone A,C[C@H]1CCC[C@@H]2[C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C,CHEMBL326297,N/A,80.0,7.096910013008056,1
Tesetaxel,CC1=C2[C@@H]3[C@H]([C@@]4(CC[C@@H]5[C@]([C@H]4[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C6=C(C=CC=N6)F)NC(=O)OC(C)(C)C)O)O)OC(=O)C7=CC=CC=C7)(CO5)OC(=O)C)C)O[C@@H](O3)CN(C)C,CHEMBL191333,N/A,35.0,7.455931955649724,1
Disermolide,C[C@H]1[C@@H](OC(=O)[C@@H]([C@H]1O)C)C[C@@H](/C=C\C[C@H](C)[C@@H]([C@@H](C)/C=C(/C)\C[C@H](C)[C@H]([C@H](C)[C@H]([C@@H](C)/C=C\C=C)OC(=O)N)O)O)O,CHEMBL475476,N/A,600.0,6.221848749616356,1
CHEMBL2369080,CCOP(=O)(OCC)C(NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)C(C)C,CHEMBL2369080,N/A,300.0,6.522878745280337,1
CHEMBL192540,COc1ccc(/C=C\c2cc(C)c(C)c(C)c2)cc1,CHEMBL192540,N/A,650.0,6.187086643357144,1
CHEMBL9859,COc1ccc(/C=C(\C)C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O,CHEMBL9859,N/A,460.0,6.337242168318426,1
CHEMBL225259,CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)C(O)[C@@H](NC(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)NCC(=O)NCC(=O)OCc4ccccc4)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4cccc([N+](=O)[O-])c4)C21)C3(C)C,CHEMBL225259,N/A,500.0,6.301029995663981,1
CHEMBL51409,O=c1cc(-c2ccccc2F)[nH]c2ccc(N3CCCC3)cc12,CHEMBL51409,N/A,457.09,6.339998279897117,1
CHEMBL337597,COc1ccc2[nH]c(C(=O)c3cccc([N+](=O)[O-])c3)cc2c1,CHEMBL337597,N/A,850.0,6.070581074285707,1
CHEMBL376511,COc1ccc(/C=C2/c3ccccc3C(=O)c3ccsc32)c(O)c1,CHEMBL376511,N/A,770.0,6.113509274827518,1
CHEMBL1210959,COc1ccc(C=C2c3cccc(Cl)c3C(=O)c3c(Cl)cccc32)c(OC)c1O,CHEMBL1210959,N/A,360.0,6.443697499232712,1
CHEMBL78844,CCOc1cc2c(cc1O)CCCC1C2CC[C@@]2(C)C1CC[C@@H]2O,CHEMBL78844,N/A,970.0,6.013228265733755,1
CHEMBL363063,COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)c(C)[nH]c2c1,CHEMBL363063,N/A,900.0,6.045757490560675,1
CHEMBL150582,COc1ccc(OCc2cc(OC)c(OC)c(OC)c2)cc1C=O,CHEMBL150582,N/A,560.0,6.251811972993799,1
CHEMBL48472,COc1cccc(-c2cc(O)c3c(C)cc(C)nc3n2)c1,CHEMBL48472,N/A,870.96,6.060001790087838,1
CHEMBL202930,COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)ccc1O,CHEMBL202930,N/A,130.0,6.886056647693163,1
CHEMBL299305,Nc1cccc(-c2cc(O)c3cc4c(cc3n2)OCO4)c1,CHEMBL299305,N/A,724.44,6.139997578098902,1
CHEMBL419387,Cc1cc(C=C2c3ccccc3C(=O)c3ccccc32)cc(C)c1O,CHEMBL419387,N/A,910.0,6.040958607678906,1
CHEMBL1210418,CC(=O)Oc1ccc(C(=O)/C=C2\c3cccc(Cl)c3C(=O)c3cccc(Cl)c32)cc1,CHEMBL1210418,N/A,410.0,6.3872161432802645,1
CHEMBL218923,COc1cc(/C=C2/c3ccccc3C(=O)c3ccsc32)ccc1O,CHEMBL218923,N/A,880.0,6.055517327849832,1
CHEMBL48961,Oc1cc(-c2cccc(F)c2)nc2cc3c(cc12)OCO3,CHEMBL48961,N/A,524.81,6.279997898282849,1
CHEMBL236411,CN(C)c1ccc(S(=O)(=O)Oc2c3ccccc3cc3sccc23)cc1,CHEMBL236411,N/A,940.0,6.026872146400302,1
CHEMBL14120,COc1ccc2nc(-c3ccccc3)cc(O)c2c1,CHEMBL14120,N/A,610.0,6.214670164989233,1
CHEMBL228768,COc1cc(C2C(C#N)=C(N)Oc3c2ccc2cc[nH]c32)cc(Br)c1OC,CHEMBL228768,N/A,900.0,6.045757490560675,1
CHEMBL132896,Cc1ccc2c(O)cc(-c3csc4ccccc34)nc2n1,CHEMBL132896,N/A,370.0,6.431798275933005,1
CHEMBL1210963,COc1ccc(/C=C2/c3cccc(Cl)c3C(=O)c3cccc(Cl)c32)cc1,CHEMBL1210963,N/A,520.0,6.2839966563652006,1
CHEMBL1627442,CCOc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,CHEMBL1627442,N/A,660.0,6.180456064458132,1
CHEMBL2369082,CCOP(=O)(OCC)[C@H](NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)C(C)C,CHEMBL2369082,N/A,800.0,6.096910013008056,1
CHEMBL429265,COc1cccc(S(=O)(=O)Oc2c3ccccc3cc3sccc23)c1,CHEMBL429265,N/A,290.0,6.5376020021010435,1
CHEMBL130200,Cc1cnc2nc(-c3csc4ccccc34)cc(O)c2c1,CHEMBL130200,N/A,910.0,6.040958607678906,1
CHEMBL276541,COc1cccc(-c2cc(O)c3cccnc3n2)c1,CHEMBL276541,N/A,790.0,6.102372908709558,1
CHEMBL264716,C=CC[C@H](O)CC/C(C)=C/C=C/CC/C=C\C1CSC([C@@H]2C[C@@H]2C)=N1,CHEMBL264716,N/A,870.0,6.060480747381382,1
CHEMBL383775,COc1cc(C2C(C#N)=C(N)Oc3cc(N)ccc32)cc(Br)c1OC,CHEMBL383775,N/A,500.0,6.301029995663981,1
CHEMBL16058,O=C1CC(c2cccc(F)c2)Nc2cc3c(cc21)OCO3,CHEMBL16058,N/A,750.0,6.1249387366083,1
CHEMBL14412,COc1cccc(-c2cc(O)c3cc(OC)ccc3n2)c1,CHEMBL14412,N/A,740.0,6.130768280269024,1
CHEMBL141242,COc1ccc2[nH]c(C(=O)c3ccc(OC)c(OC)c3)cc2c1,CHEMBL141242,N/A,810.0,6.0915149811213505,1
CHEMBL392633,COc1ccc(S(=O)(=O)Oc2c3ccccc3cc3ccccc23)cc1,CHEMBL392633,N/A,560.0,6.251811972993799,1
CHEMBL173025,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(=O)c1cccnc1)CC2,CHEMBL173025,N/A,880.0,6.055517327849832,1
CHEMBL140223,COc1ccc2[nH]c(C(=O)c3cccc(O)c3)cc2c1,CHEMBL140223,N/A,660.0,6.180456064458132,1
CHEMBL99862,COc1cc(C(=O)c2cc(N)ccc2Cl)cc(OC)c1OC,CHEMBL99862,N/A,600.0,6.221848749616356,1
CHEMBL2369096,CCOC(=O)CC(NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)P(=O)(OCC)OCC,CHEMBL2369096,N/A,300.0,6.522878745280337,1
CHEMBL341192,COC(=O)Nc1nc2c(C)cc(C(=O)c3cccs3)cc2[nH]1,CHEMBL341192,N/A,860.0,6.0655015487564325,1
CHEMBL73156,COc1cccc(-c2cc(O)c3c(C)ccnc3n2)c1,CHEMBL73156,N/A,620.0,6.2076083105017466,1
CHEMBL8953,COc1cc(C(=O)c2cc(Cl)ccc2N)cc(OC)c1OC,CHEMBL8953,N/A,100.0,7.0,1
CHEMBL398400,COc1ccc(-c2snnc2-c2cc(OC)c(OC)c(OC)c2)cc1N,CHEMBL398400,N/A,680.0,6.167491087293763,1
CHEMBL325260,Oc1cc(-c2cccc(OCc3ccccc3)c2)nc2cc3c(cc12)OCO3,CHEMBL325260,N/A,450.0,6.346787486224656,1
CHEMBL130179,Cc1cc(C)c2c(O)cc(-c3csc4ccccc34)nc2n1,CHEMBL130179,N/A,780.0,6.107905397309519,1
CHEMBL159,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,CHEMBL159,N/A,70.0,7.154901959985743,1
CHEMBL1210416,O=C(/C=C1\c2cccc(Cl)c2C(=O)c2cccc(Cl)c21)c1ccc(Br)cc1,CHEMBL1210416,N/A,510.0,6.292429823902063,1
CHEMBL273311,O=C1C[C@@H](c2ccccc2F)Nc2cc3c(cc21)OCO3,CHEMBL273311,N/A,560.0,6.251811972993799,1
CHEMBL135161,CCOC(=O)Cc1csc(C(=O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1,CHEMBL135161,N/A,880.0,6.055517327849832,1
CHEMBL114883,CCOc1cccc(-c2cc(O)c3cc4c(cc3n2)OCO4)c1,CHEMBL114883,N/A,470.0,6.327902142064283,1
CHEMBL204710,c1cnc(NCc2ccncc2)c(-c2nnc(Nc3ccc4c(c3)OCO4)o2)c1,CHEMBL204710,N/A,30.0,7.522878745280337,1
CHEMBL1210321,COc1ccc(C(=O)/C=C2\c3cccc(Cl)c3C(=O)c3cccc(Cl)c32)cc1OC,CHEMBL1210321,N/A,690.0,6.161150909262744,1
CHEMBL51408,Cc1cc(C)c2c(O)cc(-c3cccc(Cl)c3)nc2n1,CHEMBL51408,N/A,770.0,6.113509274827518,1
CHEMBL295117,COc1cccc(-c2cc(=O)c3ccc(C)nc3[nH]2)c1,CHEMBL295117,N/A,750.0,6.1249387366083,1
CHEMBL224082,CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)OCc4ccccc4)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OCc4ccccc4)C21)C3(C)C,CHEMBL224082,N/A,500.0,6.301029995663981,1
CHEMBL2369089,CCOP(=O)(OCC)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32,CHEMBL2369089,N/A,100.0,7.0,1
CHEMBL51998,Cc1ccnc2nc(-c3cccc4ccccc34)cc(O)c12,CHEMBL51998,N/A,930.0,6.031517051446065,1
CHEMBL49847,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](OC(=O)c1ccncc1)CC2,CHEMBL49847,N/A,560.0,6.251811972993799,1
CHEMBL368737,COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(=O)CC2,CHEMBL368737,N/A,760.0,6.119186407719209,1
CHEMBL449101,COc1ccc(C(=O)C=C2c3ccccc3C(=O)c3ccccc32)c(OC)c1,CHEMBL449101,N/A,900.0,6.045757490560675,1
CHEMBL9514,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1,CHEMBL9514,N/A,760.0,6.119186407719209,1
CHEMBL14782,COc1cc(OC)cc(-c2cc(O)c3cc4c(cc3n2)OCO4)c1,CHEMBL14782,N/A,620.0,6.2076083105017466,1
CHEMBL47426,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1,CHEMBL47426,N/A,200.0,6.698970004336019,1
CHEMBL2369091,CCOP(=O)(OCC)[C@H](C)NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32,CHEMBL2369091,N/A,200.0,6.698970004336019,1
CHEMBL275872,CN(C)c1cccc(-c2cc(O)c3cc4c(cc3n2)OCO4)c1,CHEMBL275872,N/A,700.0,6.154901959985743,1
CHEMBL381122,c1ccc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCO4)o2)nc1,CHEMBL381122,N/A,30.0,7.522878745280337,1
CHEMBL218429,COc1ccc(/C=C(\F)C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O,CHEMBL218429,N/A,600.0,6.221848749616356,1
CHEMBL203755,Fc1ccc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCCO4)o2)cc1F,CHEMBL203755,N/A,700.0,6.154901959985743,1
CHEMBL418350,Oc1cc(-c2ccccc2)nc2cc3c(cc12)OCO3,CHEMBL418350,N/A,630.0,6.200659450546418,1
CHEMBL140363,COc1cccc(C(=O)c2cc3cc(OC)ccc3[nH]2)c1,CHEMBL140363,N/A,530.0,6.275724130399211,1
CHEMBL426016,CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)N[C@H](C(=O)OCc4ccccc4)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OCc4ccccc4)C21)C3(C)C,CHEMBL426016,N/A,800.0,6.096910013008056,1
CHEMBL205166,c1ccc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCCO4)o2)nc1,CHEMBL205166,N/A,190.0,6.721246399047171,1
CHEMBL48525,COc1cccc(C2=CC(C)c3cccnc3N2)c1,CHEMBL48525,N/A,616.6,6.209996479609511,1
CHEMBL49559,CNc1cccc(-c2cc(O)c3cc4c(cc3n2)OCO4)c1,CHEMBL49559,N/A,645.65,6.190002844637807,1
CHEMBL279142,COc1cccc(-c2cc(O)c3cc4c(cc3n2)OCO4)c1,CHEMBL279142,N/A,570.0,6.2441251443275085,1
CHEMBL298378,COc1cccc(-c2cc(O)c3cc(C)cnc3n2)c1,CHEMBL298378,N/A,794.33,6.0999990348465305,1
CHEMBL89138,C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC,CHEMBL89138,N/A,720.0,6.142667503568732,1
CHEMBL329925,CCOc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1N,CHEMBL329925,N/A,700.0,6.154901959985743,1
CHEMBL141525,COc1ccc2[nH]c(C(=O)c3cccc(N)c3)cc2c1,CHEMBL141525,N/A,990.0,6.00436480540245,1
CHEMBL193716,COc1ccc(/C=C(/C)c2cc(OC)c(OC)c(OC)c2)cc1O,CHEMBL193716,N/A,130.0,6.886056647693163,1
CHEMBL14644,Oc1cc(-c2ccccc2Cl)nc2cc3c(cc12)OCO3,CHEMBL14644,N/A,890.0,6.050609993355087,1
CHEMBL60543,CCC1CN2CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)C3C45CCN4CC=CC(CC)(C45)C(OC(C)=O)[C@]3(O)C(=O)OC)CC(C2)[C@H]1c1ccccc1,CHEMBL60543,N/A,500.0,6.301029995663981,1
CHEMBL374257,COc1cc(C(=O)c2n[nH]c3c(C#CCO)c(OC)ccc23)cc(OC)c1OC,CHEMBL374257,N/A,46.0,7.337242168318426,1
CHEMBL78894,CCOc1cc2c(cc1O)C=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,CHEMBL78894,N/A,850.0,6.070581074285707,1
CHEMBL2369028,C=CC[C@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC,CHEMBL2369028,N/A,670.0,6.173925197299173,1
CHEMBL2369093,CCCCCC(NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)P(=O)(OCC)OCC,CHEMBL2369093,N/A,20.0,7.698970004336019,1
CHEMBL94124,COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)c(O)c1O,CHEMBL94124,N/A,820.0,6.086186147616283,1
CHEMBL373137,COc1cc(C2C(C#N)=C(N)Oc3cc(N(C)C)ccc32)cc2c1OCO2,CHEMBL373137,N/A,400.0,6.3979400086720375,1
CHEMBL295291,Cc1cc(C)c2c(O)cc(-c3cccc(F)c3)nc2n1,CHEMBL295291,N/A,740.0,6.130768280269024,1
CHEMBL426644,COc1ccc(/C=C(\C)C(=O)c2cc(OC)c(OC)c(OC)c2)cc1F,CHEMBL426644,N/A,650.0,6.187086643357144,1
CHEMBL219439,COc1ccc(/C=C2/c3ccccc3C(=O)c3ccsc32)c(OC)c1O,CHEMBL219439,N/A,500.0,6.301029995663981,1
CHEMBL454936,O=C(C=C1c2ccccc2C(=O)c2ccccc21)c1ccc(O)cc1,CHEMBL454936,N/A,900.0,6.045757490560675,1
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL107,N/A,500.0,6.301029995663981,1
